City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Egvekinot,RU,-2.47,overcast clouds,66.3167,-179.1667,
263,Tilichiki,RU,0.41,overcast clouds,60.4667,166.1,
264,Shetpe,KZ,37.36,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
265,Liverpool,GB,40.77,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
266,Fort Nelson,CA,-15.21,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
267,Banyo,CM,75.06,overcast clouds,6.75,11.8167,Motel JOMBA
268,Malim,PH,77.67,overcast clouds,7.452,123.4312,Malim
269,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
270,Filingue,NE,78.55,clear sky,14.3521,3.3168,
271,Nemuro,JP,40.39,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
272,Cavalcante,BR,70.63,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
273,Praia Da Vitoria,PT,60.76,broken clouds,38.7333,-27.0667,Hotel Branco I
274,Flinders,AU,66.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
275,Innisfail,AU,83.88,broken clouds,-17.5333,146.0333,Moondarra Motel
276,Riachao Do Jacuipe,BR,74.03,few clouds,-11.8069,-39.3856,Riachão Palace Hotel
277,Eureka,US,55.58,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
278,Jasper,US,70.23,clear sky,37.2001,-94.3502,Guest House Motel
279,Pangody,RU,-28.44,scattered clouds,65.85,74.4859,Elizaveta Shevchuk's House
280,Hanna,CA,5.02,broken clouds,51.6334,-111.9018,West View Motel
281,San Carlos De Bariloche,AR,85.75,few clouds,-41.1456,-71.3082,Hotel Patagonia
282,Te Anau,NZ,49.26,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
283,Sungaipenuh,ID,63.72,light rain,-2.0833,101.3833,penginapan citra alam
284,Ambilobe,MG,75.97,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
285,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
286,Beringovskiy,RU,7.29,overcast clouds,63.05,179.3167,Beringgorski
287,Bac Lieu,VN,71.17,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
288,Guerrero Negro,MX,68.65,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
289,Mazyr,BY,29.25,overcast clouds,52.0495,29.2456,Euro Mini-Hotel
290,Havoysund,NO,30.43,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
291,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
292,Manyana,BW,71.28,scattered clouds,-23.4,21.7167,
293,Faanui,PF,81.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
294,Samarai,PG,82.53,overcast clouds,-10.6167,150.6667,Nuli Sapi
295,Taltal,CL,67.42,scattered clouds,-25.4,-70.4833,Residencial Karime
296,Thio,NC,84.16,broken clouds,-21.6167,166.2167,La Ferme de Thio
297,Hambantota,LK,77.05,clear sky,6.1241,81.1185,Bungalow 63
298,Trinidad,BO,76.98,light rain,-14.8333,-64.9,Hotel Piesta
299,Tucupita,VE,74.8,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
300,Bereda,ES,49.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
301,Mogadishu,SO,79.54,broken clouds,2.0371,45.3438,Hotel Juba
302,Castro,BR,64.58,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
303,Lompoc,US,82.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
304,Aquiraz,BR,86.22,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
305,Talnakh,RU,-16.8,snow,69.4865,88.3972,Talnakh Hotel
306,Maralal,KE,58.06,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
307,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
308,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
309,Andilamena,MG,62.55,scattered clouds,-17.0167,48.5833,Police men home Andilamina
310,Kahului,US,76.84,light rain,20.8947,-156.47,Maui Seaside Hotel
311,Culleredo,ES,52.84,broken clouds,43.2879,-8.3886,Hotel Crunia A Coruña
312,Vyshhorod,UA,30.34,light snow,50.5848,30.4898,Vyshegrad Mini-Hotel
313,Chapeco,BR,82.15,scattered clouds,-27.0964,-52.6183,Golden Hotel
314,Airai,TL,62.44,overcast clouds,-8.9266,125.4092,Juvinal Martin
315,Compiegne,FR,43.09,overcast clouds,49.4179,2.8261,Hôtel de Flandre
316,Porbandar,IN,73.18,clear sky,21.6422,69.6093,Lords Inn Porbandar
317,Nizhniy Kuranakh,RU,1.11,overcast clouds,58.8353,125.4869,Park Pobedy
